Id,Predict
0,2
1,1
2,2
3,1
4,1
5,2
6,2
7,2
8,2
9,2
10,1
11,2
12,1
13,1
14,0
15,2
16,1
17,2
18,0
19,2
20,0
21,2
22,1
23,2
24,2
25,2
26,2
27,2
28,1
29,0
30,1
31,1
32,0
33,2
34,0
35,2
36,2
37,1
38,2
39,0
40,2
41,2
42,1
43,2
44,1
45,1
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,2
54,2
55,1
56,1
57,2
58,1
59,0
60,2
61,2
62,2
63,0
64,0
65,2
66,0
67,1
68,0
69,2
70,1
71,0
72,1
73,2
74,0
75,1
76,2
77,2
78,1
79,1
80,1
81,1
82,1
83,2
84,2
85,2
86,2
87,2
88,2
89,0
90,1
91,2
92,1
93,1
94,2
95,2
96,2
97,2
98,1
99,1
100,1
101,1
102,1
103,2
104,0
105,1
106,1
107,1
108,1
109,1
110,1
111,2
112,0
113,2
114,2
115,2
116,2
117,0
118,1
119,1
120,1
121,2
122,0
123,2
124,0
125,1
126,2
127,1
128,0
129,2
130,2
131,2
132,2
133,2
134,1
135,1
136,1
137,0
138,1
139,2
140,2
141,1
142,1
143,0
144,1
145,2
146,0
147,2
148,2
149,1
150,1
151,2
152,2
153,2
154,1
155,2
156,2
157,2
158,0
159,2
160,1
161,1
162,0
163,1
164,2
165,2
166,1
167,0
168,1
169,2
170,1
171,2
172,2
173,0
174,1
175,1
176,0
177,2
178,2
179,1
180,1
181,1
182,1
183,1
184,0
185,2
186,2
187,2
188,2
189,1
190,1
191,2
192,1
193,2
194,0
195,2
196,1
197,2
198,0
199,1
200,1
201,2
202,1
203,1
204,1
205,1
206,2
207,2
208,2
209,1
210,2
211,1
212,2
213,2
214,1
215,1
216,2
217,2
218,2
219,2
220,1
221,2
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,0
231,0
232,2
233,0
234,2
235,0
236,1
237,1
238,2
239,0
240,1
241,2
242,2
243,1
244,2
245,2
246,1
247,2
248,1
249,2
250,2
251,1
252,2
253,2
254,2
255,2
256,1
257,1
258,2
259,1
260,1
261,2
262,2
263,2
264,2
265,0
266,0
267,1
268,1
269,1
270,1
271,2
272,2
273,0
274,0
275,2
276,0
277,1
278,1
279,0
280,2
281,1
282,0
283,2
284,2
285,0
286,1
287,1
288,1
289,0
290,1
291,2
292,2
293,0
294,1
295,2
296,0
297,2
298,1
299,2
300,1
301,1
302,2
303,0
304,1
305,2
306,1
307,1
308,1
309,2
310,0
311,1
312,2
313,1
314,1
315,0
316,0
317,2
318,2
319,0
320,2
321,1
322,1
323,2
324,0
325,1
326,1
327,2
328,1
329,1
330,1
331,1
332,1
333,2
334,2
335,1
336,0
337,1
338,1
339,2
340,1
341,2
342,2
343,2
344,2
345,1
346,2
347,2
348,2
349,1
350,2
351,2
352,2
353,1
354,1
355,2
356,0
357,1
358,2
359,0
360,2
361,2
362,2
363,1
364,1
365,1
366,2
367,1
368,0
369,2
370,2
371,1
372,1
373,1
374,1
375,0
376,2
377,2
378,0
379,0
380,1
381,2
382,0
383,1
384,1
385,2
386,2
387,2
388,1
389,1
390,0
391,2
392,0
393,2
394,1
395,1
396,1
397,1
398,1
399,2
400,0
401,0
402,2
403,1
404,1
405,1
406,2
407,1
408,0
409,2
410,1
411,1
412,2
413,1
414,2
415,1
416,2
417,0
418,1
419,1
420,0
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,0
429,2
430,1
431,2
432,0
433,1
434,1
435,2
436,1
437,1
438,0
439,2
440,0
441,2
442,2
443,0
444,0
445,1
446,2
447,1
448,1
449,2
450,2
451,2
452,2
453,0
454,1
455,2
456,1
457,2
458,0
459,1
460,1
461,0
462,2
463,1
464,2
465,2
466,1
467,1
468,1
469,1
470,1
471,0
472,2
473,2
474,1
475,1
476,2
477,0
478,2
479,1
480,1
481,2
482,2
483,0
484,0
485,1
486,0
487,2
488,1
489,1
490,2
491,1
492,1
493,0
494,2
495,1
496,2
497,2
498,2
499,1
500,0
501,1
502,1
503,2
504,0
505,2
506,2
507,2
508,1
509,2
510,1
511,2
512,1
513,2
514,2
515,1
516,1
517,2
518,1
519,1
520,1
521,2
522,1
523,1
524,0
525,0
526,1
527,1
528,2
529,1
530,1
531,2
532,1
533,1
534,2
535,0
536,0
537,0
538,1
539,0
540,2
541,2
542,2
543,0
544,1
545,1
546,0
547,1
548,0
549,2
550,0
551,1
552,1
553,1
554,2
555,2
556,1
557,1
558,2
559,1
560,1
561,2
562,0
563,1
564,1
565,2
566,0
567,2
568,2
569,1
570,2
571,1
572,2
573,2
574,0
575,2
576,2
577,1
578,1
579,2
580,2
581,0
582,1
583,1
584,1
585,1
586,2
587,2
588,2
589,2
590,2
591,1
592,1
593,2
594,1
595,0
596,1
597,2
598,1
599,0
600,2
601,0
602,2
603,1
604,1
605,2
606,1
607,2
608,2
609,1
610,0
611,2
612,2
613,2
614,2
615,2
616,2
617,2
618,2
619,2
620,2
621,1
622,0
623,2
624,2
625,1
626,1
627,2
628,2
629,1
630,1
631,2
632,1
633,1
634,1
635,1
636,1
637,2
638,0
639,0
640,0
641,1
642,2
643,1
644,1
645,1
646,2
647,0
648,2
649,1
650,2
651,2
652,0
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,2
661,1
662,1
663,2
664,2
665,1
666,2
667,2
668,2
669,2
670,2
671,2
672,1
673,1
674,2
675,2
676,2
677,0
678,0
679,0
680,1
681,1
682,1
683,2
684,2
685,2
686,1
687,1
688,1
689,2
690,1
691,1
692,0
693,2
694,0
695,2
696,0
697,1
698,1
699,2
700,0
701,1
702,0
703,1
704,2
705,1
706,2
707,2
708,2
709,2
710,0
711,2
712,1
713,1
714,1
715,1
716,1
717,2
718,0
719,1
720,2
721,2
722,2
723,2
724,0
725,2
726,2
727,2
728,1
729,2
730,1
